,healthconf,healthPE,healthpred,healthseq
0,2.067901235,19.0,101.0,82.0
1,3.518518519,11.0,85.0,74.0
2,3.74691358,49.0,81.0,130.0
3,4.148148148,25.0,110.0,85.0
4,3.672839506,8.0,100.0,92.0
5,3.512345679,56.0,120.0,64.0
6,2.598765432,18.0,90.0,108.0
7,2.555555556,49.0,76.0,125.0
8,2.950617284,12.0,98.0,86.0
9,2.691358025,59.0,78.0,137.0
10,2.987654321,38.0,100.0,138.0
11,2.49382716,5.0,150.0,145.0
12,2.469135802,49.0,160.0,111.0
13,2.969135802,21.0,130.0,109.0
14,2.697530864,34.0,128.0,94.0
15,2.833333333,26.0,84.0,110.0
16,2.604938272,11.0,97.0,86.0
17,2.851851852,41.0,68.0,109.0
18,2.611111111,31.0,101.0,132.0
19,2.604938272,3.0,118.0,115.0
20,2.524691358,21.0,137.0,116.0
21,3.444444444,19.0,123.0,142.0
22,4.234567901,34.0,138.0,104.0
23,3.018518519,7.0,110.0,103.0
24,1.512345679,74.0,87.0,13.0
25,2.283950617,13.0,69.0,56.0
26,2.296296296,87.0,46.0,133.0
27,4.351851852,25.0,110.0,85.0
28,2.456790123,77.0,98.0,175.0
29,2.62962963,60.0,189.0,129.0
30,2.666666667,94.0,138.0,44.0
31,2.759259259,3.0,65.0,62.0
32,2.919753086,75.0,110.0,35.0
33,2.796296296,18.0,58.0,40.0
34,2.697530864,51.0,23.0,74.0
35,2.530864198,11.0,120.0,109.0
36,2.450617284,23.0,110.0,87.0
37,2.024691358,17.0,78.0,61.0
38,2.444444444,58.0,68.0,126.0
39,2.512345679,39.0,160.0,121.0
40,1.604938272,33.0,87.0,120.0
41,2.685185185,34.0,100.0,134.0
42,1.574074074,61.0,168.0,107.0
43,2.154320988,37.0,98.0,135.0
44,1.216049383,17.0,134.0,151.0
45,2.333333333,57.0,170.0,113.0
46,2.641975309,48.0,140.0,92.0
47,1.62962963,47.0,78.0,125.0
48,2.432098765,93.0,150.0,57.0
49,2.345679012,2.0,120.0,122.0
50,1.37037037,26.0,110.0,84.0
51,1.691358025,82.0,68.0,150.0
52,3.598765432,67.0,120.0,187.0
53,4.197530864,34.0,159.0,125.0
54,4.37654321,55.0,110.0,165.0
55,1.469135802,77.0,200.0,123.0
56,1.598765432,49.0,110.0,61.0
57,1.358024691,46.0,38.0,84.0
58,1.635802469,5.0,89.0,94.0
59,3.450617284,18.0,118.0,136.0
60,1.925925926,22.0,140.0,118.0
61,1.604938272,5.0,123.0,118.0
62,1.697530864,25.0,140.0,115.0
63,1.209876543,15.0,130.0,115.0
64,1.12962963,23.0,134.0,111.0
65,1.598765432,3.0,135.0,138.0
66,1.092592593,13.0,120.0,133.0
67,4.512345679,70.0,124.0,54.0
68,1.172839506,25.0,76.0,101.0
69,1.074074074,16.0,120.0,136.0
70,4.12962963,5.0,110.0,105.0
71,4.487654321,79.0,124.0,45.0
72,2.814814815,31.0,76.0,45.0
73,1.617283951,64.0,58.0,122.0
74,1.481481481,55.0,111.0,56.0
75,1.388888889,53.0,67.0,120.0
76,1.765432099,5.0,110.0,105.0
77,1.308641975,50.0,148.0,98.0
78,3.222222222,33.0,108.0,75.0
79,2.611111111,50.0,68.0,118.0
80,2.388888889,54.0,130.0,76.0
81,2.185185185,28.0,90.0,118.0
82,1.722222222,7.0,130.0,137.0
83,2.111111111,75.0,154.0,79.0
84,1.697530864,87.0,90.0,177.0
85,1.703703704,67.0,110.0,177.0
86,1.333333333,58.0,177.0,119.0
87,1.938271605,3.0,124.0,127.0
88,1.462962963,29.0,127.0,98.0
89,1.648148148,79.0,68.0,147.0
90,1.641975309,37.0,172.0,135.0
91,1.697530864,44.0,120.0,76.0
92,1.672839506,85.0,110.0,25.0
93,1.444444444,5.0,48.0,53.0
94,1.722222222,16.0,60.0,44.0
95,1.820987654,26.0,68.0,42.0
96,1.654320988,20.0,79.0,99.0
97,1.401234568,44.0,120.0,76.0
98,2.382716049,17.0,100.0,83.0
99,1.598765432,84.0,147.0,63.0
100,1.518518519,3.0,120.0,117.0
101,1.333333333,26.0,97.0,123.0
102,1.617283951,20.0,130.0,110.0
103,3.407407407,33.0,118.0,151.0
104,2.314814815,5.0,140.0,145.0
105,1.783950617,46.0,80.0,126.0
106,2.185185185,60.0,108.0,168.0
107,1.845679012,45.0,110.0,155.0
108,2.111111111,1.0,110.0,109.0
109,1.895061728,41.0,125.0,84.0
110,2.141975309,9.0,97.0,106.0
111,2.419753086,107.0,146.0,39.0
112,1.87654321,4.0,28.0,24.0
113,1.62962963,79.0,18.0,97.0
114,2.537037037,27.0,47.0,74.0
115,2.141975309,63.0,37.0,100.0
116,2.728395062,11.0,132.0,121.0
117,2.185185185,18.0,145.0,127.0
118,2.327160494,84.0,156.0,72.0
119,2.24691358,9.0,99.0,108.0
120,2.080246914,36.0,120.0,156.0
121,3.080246914,37.0,176.0,139.0
122,2.382716049,106.0,210.0,104.0
123,2.703703704,2.0,126.0,124.0
124,3.092592593,44.0,110.0,154.0
125,2.5,39.0,140.0,101.0
126,2.24691358,10.0,76.0,66.0
127,2.561728395,52.0,37.0,89.0
128,2.049382716,18.0,120.0,102.0
129,1.888888889,33.0,110.0,77.0
130,2.339506173,51.0,45.0,96.0
131,2.290123457,29.0,119.0,90.0
132,2.037037037,104.0,45.0,149.0
133,2.518518519,74.0,180.0,106.0
134,2.512345679,19.0,120.0,101.0
135,2.111111111,2.0,108.0,110.0
136,2.574074074,18.0,110.0,128.0
137,2.666666667,93.0,174.0,81.0
138,2.49382716,79.0,60.0,139.0
139,2.364197531,26.0,120.0,94.0
140,2.796296296,45.0,69.0,114.0
141,2.950617284,33.0,134.0,101.0
142,2.62962963,20.0,110.0,130.0
143,2.395061728,20.0,120.0,100.0
144,2.290123457,17.0,98.0,115.0
145,2.314814815,76.0,160.0,84.0
146,2.351851852,30.0,70.0,100.0
147,2.450617284,17.0,110.0,93.0
148,2.302469136,31.0,150.0,119.0
149,2.080246914,57.0,67.0,124.0
150,2.277777778,44.0,89.0,133.0
151,2.240740741,24.0,140.0,116.0
152,2.104938272,44.0,134.0,90.0
153,2.104938272,8.0,78.0,70.0
154,2.401234568,38.0,90.0,52.0
155,2.333333333,39.0,46.0,85.0
156,2.259259259,46.0,67.0,113.0
157,2.271604938,1.0,120.0,119.0
158,2.432098765,67.0,112.0,179.0
159,2.524691358,86.0,197.0,111.0
160,2.777777778,17.0,120.0,103.0
161,2.37654321,25.0,68.0,93.0
162,2.635802469,47.0,37.0,84.0
163,2.154320988,30.0,98.0,128.0
164,2.654320988,54.0,145.0,91.0
165,2.604938272,6.0,100.0,106.0
166,2.604938272,47.0,129.0,82.0
167,2.555555556,15.0,67.0,52.0
168,2.555555556,46.0,29.0,75.0
169,2.518518519,86.0,110.0,24.0
170,2.635802469,20.0,18.0,38.0
171,2.586419753,1.0,27.0,26.0
172,2.833333333,8.0,45.0,53.0
173,2.580246914,13.0,65.0,52.0
174,2.611111111,61.0,57.0,118.0
175,2.537037037,0.0,119.0,119.0
176,2.75308642,22.0,120.0,98.0
177,2.314814815,27.0,99.0,126.0
178,2.308641975,7.0,147.0,140.0
179,2.296296296,2.0,110.0,108.0
180,2.333333333,32.0,134.0,102.0
181,2.530864198,50.0,78.0,128.0
182,2.765432099,120.0,197.0,77.0
183,2.283950617,3.0,80.0,83.0
184,2.543209877,3.0,124.0,121.0
185,2.956790123,48.0,119.0,71.0
186,2.462962963,118.0,37.0,155.0
187,1.62345679,161.0,198.0,37.0
188,1.950617284,28.0,45.0,73.0
189,2.296296296,43.0,67.0,110.0
190,2.438271605,7.0,123.0,116.0
191,2.104938272,10.0,99.0,109.0
192,2.413580247,48.0,145.0,97.0
193,2.537037037,19.0,109.0,128.0
194,1.87037037,39.0,129.0,90.0
195,2.25308642,64.0,47.0,111.0
196,2.320987654,18.0,160.0,142.0
197,2.098765432,32.0,135.0,103.0
198,1.975308642,9.0,110.0,119.0
199,2.37654321,2.0,123.0,125.0
200,4.979166667,24.0,100.0,124.0
201,4.961805556,11.0,120.0,109.0
202,4.006944444,34.0,110.0,76.0
203,3.980902778,52.0,90.0,38.0
204,2.991319444,42.0,40.0,82.0
205,3.0,46.0,90.0,44.0
206,3.026041667,7.0,60.0,53.0
207,3.0,17.0,50.0,33.0
208,3.026041667,37.0,45.0,82.0
209,3.008680556,42.0,70.0,112.0
210,2.982638889,8.0,100.0,92.0
211,2.991319444,6.0,100.0,94.0
212,2.982638889,17.0,95.0,112.0
213,2.991319444,48.0,100.0,148.0
214,3.026041667,21.0,130.0,109.0
215,3.017361111,32.0,120.0,88.0
216,3.017361111,8.0,100.0,108.0
217,3.017361111,17.0,120.0,103.0
218,2.973958333,18.0,90.0,108.0
219,2.991319444,6.0,110.0,116.0
220,3.026041667,30.0,120.0,150.0
221,2.982638889,22.0,135.0,157.0
222,2.982638889,40.0,140.0,100.0
223,2.991319444,15.0,100.0,85.0
224,3.0,72.0,90.0,162.0
225,3.026041667,44.0,110.0,154.0
226,3.017361111,15.0,140.0,155.0
227,2.982638889,78.0,130.0,52.0
228,2.991319444,50.0,80.0,130.0
229,2.991319444,59.0,100.0,41.0
230,3.0,49.0,55.0,6.0
231,3.0,29.0,30.0,59.0
232,3.008680556,34.0,50.0,84.0
233,2.982638889,22.0,100.0,78.0
234,2.982638889,6.0,90.0,84.0
235,2.982638889,27.0,80.0,53.0
236,2.982638889,11.0,60.0,49.0
237,2.982638889,3.0,70.0,67.0
238,2.982638889,41.0,100.0,141.0
239,2.982638889,3.0,130.0,127.0
240,2.982638889,20.0,120.0,100.0
241,2.982638889,20.0,100.0,120.0
242,2.982638889,32.0,110.0,142.0
243,2.982638889,10.0,125.0,115.0
244,2.982638889,50.0,100.0,50.0
245,2.982638889,5.0,70.0,75.0
246,2.982638889,9.0,100.0,109.0
247,2.982638889,26.0,120.0,94.0
248,2.982638889,5.0,100.0,95.0
249,2.982638889,45.0,90.0,45.0
250,2.982638889,24.0,80.0,104.0
251,2.982638889,32.0,100.0,132.0
252,2.982638889,17.0,120.0,103.0
253,2.982638889,36.0,100.0,136.0
254,2.982638889,52.0,120.0,68.0
255,2.982638889,23.0,89.0,112.0
256,2.982638889,3.0,105.0,108.0
257,2.982638889,43.0,100.0,143.0
258,2.982638889,38.0,135.0,97.0
259,2.982638889,42.0,110.0,152.0
260,2.982638889,38.0,145.0,107.0
261,2.982638889,7.0,95.0,88.0
262,3.0,88.0,74.0,162.0
263,3.0,61.0,150.0,89.0
