"","mean","se_mean","sd","X50.","group"
"driftSubj.1.",1.71331825787134,0.0122991368037236,1.28312559871156,1.38751005610758,"H"
"driftSubj.2.",0.433665050595185,0.00337715041790668,0.364919413927661,0.33268754071186,"H"
"driftSubj.3.",1.76912428796346,0.0129407039945726,1.32035327451608,1.43411284326099,"H"
"driftSubj.4.",1.45441943164068,0.0101083825128406,1.12079563162815,1.17447057499789,"H"
"driftSubj.5.",2.25607790925644,0.017782519021766,1.59478062353345,1.87774233859204,"H"
"driftSubj.6.",2.09288557412177,0.0172177650925684,1.51333145983332,1.72783820411683,"H"
"driftSubj.7.",1.55827580529208,0.0106424477199531,1.1434452550081,1.27603162132432,"H"
"driftSubj.8.",0.871116006771753,0.00703348802445283,0.818121585869233,0.630082728193104,"H"
"driftSubj.9.",1.08141103736572,0.00798528357705651,0.898460459110935,0.83511458405212,"H"
"driftSubj.10.",1.32031348355431,0.00912831445705743,1.02151108928727,1.05805749293176,"H"
"driftSubj.11.",0.783301358299911,0.0061150245564318,0.695507390778817,0.584715921978061,"H"
"driftSubj.12.",0.351388298645212,0.00326387683982746,0.340336615921772,0.251038365624321,"H"
"driftSubj.13.",0.212694216681739,0.00169481487434427,0.168181796833123,0.16650924277518,"H"
"driftSubj.14.",1.2527712527133,0.00871538467611287,0.9530733105542,1.00746456388449,"H"
"driftSubj.15.",2.10458457348456,0.0149872960975918,1.48610951655692,1.72965292695371,"H"
"driftSubj.16.",1.19426573437431,0.00757803855964088,0.839885898187878,0.996440598264606,"H"
"driftSubj.17.",0.714095227065746,0.00550522521274574,0.611908570441601,0.543968145055622,"H"
"driftSubj.18.",0.56933324801263,0.00300250063381731,0.353247611320502,0.493439187105003,"H"
"driftSubj.19.",0.342387222324772,0.0031550240732777,0.344198580428181,0.237957122880953,"H"
"driftSubj.20.",0.851240374552903,0.0065030014179794,0.765257461235055,0.622392422542054,"H"
"driftSubj.21.",1.10564026681473,0.00759814079606412,0.873317119593547,0.880390134968936,"H"
"driftSubj.22.",1.32751358485104,0.00968608915898491,1.05227033992462,1.04823638702801,"H"
"driftSubj.23.",1.79048328602149,0.0139808947291794,1.3655275044184,1.4674387351874,"H"
"driftSubj.24.",1.60256506782579,0.011192231052567,1.20392460524386,1.30222254251606,"H"
"driftSubj.25.",1.02093151679852,0.00687488577074209,0.775910693769026,0.819261071189981,"H"
"driftSubj.26.",0.116551716727314,0.000801117586839935,0.0831580434600307,0.0960017401684839,"H"
"driftSubj.27.",0.805815993574554,0.00580805252463263,0.665763940117787,0.623207828536298,"H"
"driftSubj.28.",1.55778863249314,0.0112780593906522,1.20821135322875,1.24660480951498,"H"
"driftSubj.29.",0.922508044016089,0.00614050911333689,0.684648980289819,0.752420767357565,"H"
"driftSubj.30.",0.44685071667483,0.00341135757488076,0.364165557668678,0.344716532629986,"H"
"driftSubj.31.",0.168640076402829,0.00173557418091558,0.17173777040335,0.118245518361559,"H"
"driftSubj.32.",1.56868067527585,0.0113307136118858,1.20900066350729,1.24768899665298,"H"
"driftSubj.1..1",0.448010567075002,0.00414270304147736,0.370217335805183,0.349715816829993,"P"
"driftSubj.2..1",0.00624655497860916,0.000113533262084722,0.0110766931080225,0.00343168794644593,"P"
"driftSubj.3..1",0.0439302788858254,0.000397810500130967,0.0427641802000331,0.0313768481718736,"P"
"driftSubj.4..1",0.285622287314926,0.00331018399747261,0.274841754759543,0.211409050052985,"P"
"driftSubj.5..1",0.39429282266365,0.00357492903123973,0.337226096998393,0.300211195432787,"P"
"driftSubj.6..1",0.0877353440752472,0.00110115970515133,0.117665238572622,0.0473767594678072,"P"
"driftSubj.7..1",0.355629406757894,0.00313491885151895,0.292583462228688,0.277887450584269,"P"
"driftSubj.8..1",0.170809777597652,0.00128299760510084,0.142165280827208,0.130932115619202,"P"
