,5f47792545ed0015620c5dea,5e830913ff38e3016d1a69f2,61534ac335007e11ae9dd475,5bb2a0148f3bd70001e5633f,60e197c98498a8f2baa8bc24,60aa6c8804d2aae2b7cce9d5,5f4ae489bd76c515338db02e,613636704a5fb724220f56ec,5dd26e66e454cd28a9d3153d,5b05b9796996a60001a40f14,5e4aecbff6f75d000ccc6108,5edd2e458f29cfa351de300d,5f0dfc73c4ea870f4a3180ad,5d62a50f1d7a3e0015d6a1e9,60b94f837bfda8b1977feef0,6147e5e47d2e1f4064093064,602da4b0977e1185851058c3,614778280f3a996d2b520388,5fed9b2291948ab1c1fb2351,5dbfd427a4627c4258d48ec5,611d0c64d70a6d9fcd11440b,6054ecc6e52f827e4a68d347,5ccbf31adde97100138a0eb4,589b9715a7d45800010429b6,616feb99305d8e8851e9dec6,601f00e7c33dab4182151cc5,60ffc7bb84a3a45ff45fd520,605c64f318cd6fa0d8fef2b0,611f673baf2f705177f7a3c8,6142f3f67e6cee640ce351e5,58404fd8ad98e40001ce915f,5a609c8331b87a0001c6b64c
0,82.0,124.0,118.0,110.0,83.0,83.0,92.0,83.0,83.0,92.0,87.0,90.0,117.0,82.0,124.0,76.0,124.0,131.0,118.0,117.0,76.0,82.0,118.0,124.0,69.0,124.0,83.0,90.0,124.0,76.0,110.0,118.0
1,74.0,109.0,126.0,93.0,133.0,133.0,116.0,133.0,133.0,116.0,93.0,107.0,67.0,74.0,109.0,91.0,109.0,112.0,126.0,67.0,91.0,74.0,126.0,109.0,88.0,109.0,133.0,107.0,109.0,91.0,93.0,126.0
2,130.0,76.0,70.0,57.0,125.0,125.0,112.0,125.0,125.0,112.0,89.0,143.0,75.0,130.0,76.0,124.0,76.0,91.0,70.0,75.0,124.0,130.0,70.0,76.0,109.0,76.0,125.0,143.0,76.0,124.0,57.0,70.0
3,85.0,38.0,115.0,91.0,121.0,121.0,117.0,121.0,121.0,117.0,67.0,109.0,79.0,85.0,38.0,162.0,38.0,98.0,115.0,79.0,162.0,85.0,115.0,38.0,102.0,38.0,121.0,109.0,38.0,162.0,91.0,115.0
4,92.0,82.0,108.0,86.0,100.0,100.0,64.0,100.0,100.0,64.0,113.0,114.0,100.0,92.0,82.0,118.0,82.0,103.0,108.0,100.0,118.0,92.0,108.0,82.0,97.0,82.0,100.0,114.0,82.0,118.0,86.0,108.0
5,64.0,44.0,136.0,87.0,122.0,122.0,131.0,122.0,122.0,131.0,125.0,113.0,78.0,64.0,44.0,156.0,44.0,124.0,136.0,78.0,156.0,64.0,136.0,44.0,76.0,44.0,122.0,113.0,44.0,156.0,87.0,136.0
6,108.0,53.0,92.0,33.0,100.0,100.0,124.0,100.0,100.0,124.0,119.0,167.0,100.0,108.0,53.0,147.0,53.0,98.0,92.0,100.0,147.0,108.0,92.0,53.0,102.0,53.0,100.0,167.0,53.0,147.0,33.0,92.0
7,125.0,33.0,75.0,42.0,101.0,101.0,100.0,101.0,101.0,100.0,110.0,158.0,99.0,125.0,33.0,167.0,33.0,95.0,75.0,99.0,167.0,125.0,75.0,33.0,105.0,33.0,101.0,158.0,33.0,167.0,42.0,75.0
8,86.0,82.0,114.0,91.0,159.0,159.0,176.0,159.0,159.0,176.0,144.0,109.0,41.0,86.0,82.0,118.0,82.0,86.0,114.0,41.0,118.0,86.0,114.0,82.0,114.0,82.0,159.0,109.0,82.0,118.0,91.0,114.0
9,137.0,112.0,63.0,146.0,95.0,95.0,126.0,95.0,95.0,126.0,139.0,54.0,105.0,137.0,112.0,88.0,112.0,85.0,63.0,105.0,88.0,137.0,63.0,112.0,115.0,112.0,95.0,54.0,112.0,88.0,146.0,63.0
10,138.0,92.0,62.0,89.0,100.0,100.0,125.0,100.0,100.0,125.0,111.0,111.0,100.0,138.0,92.0,108.0,92.0,82.0,62.0,100.0,108.0,138.0,62.0,92.0,118.0,92.0,100.0,111.0,92.0,108.0,89.0,62.0
11,145.0,94.0,55.0,133.0,137.0,137.0,86.0,137.0,137.0,86.0,105.0,67.0,63.0,145.0,94.0,106.0,94.0,97.0,55.0,63.0,106.0,145.0,55.0,94.0,103.0,94.0,137.0,67.0,94.0,106.0,133.0,55.0
12,111.0,112.0,89.0,151.0,84.0,84.0,69.0,84.0,84.0,69.0,74.0,49.0,116.0,111.0,112.0,88.0,112.0,74.0,89.0,116.0,88.0,111.0,89.0,112.0,126.0,112.0,84.0,49.0,112.0,88.0,151.0,89.0
13,109.0,148.0,91.0,140.0,98.0,98.0,91.0,98.0,98.0,91.0,72.0,60.0,102.0,109.0,148.0,52.0,148.0,94.0,91.0,102.0,52.0,109.0,91.0,148.0,106.0,148.0,98.0,60.0,148.0,52.0,140.0,91.0
14,94.0,109.0,106.0,94.0,93.0,93.0,146.0,93.0,93.0,146.0,146.0,106.0,107.0,94.0,109.0,91.0,109.0,16.0,106.0,107.0,91.0,94.0,106.0,109.0,184.0,109.0,93.0,106.0,109.0,91.0,94.0,106.0
15,110.0,88.0,90.0,105.0,51.0,51.0,100.0,51.0,51.0,100.0,124.0,95.0,149.0,110.0,88.0,112.0,88.0,142.0,90.0,149.0,112.0,110.0,90.0,88.0,58.0,88.0,51.0,95.0,88.0,112.0,105.0,90.0
16,86.0,108.0,114.0,97.0,101.0,101.0,129.0,101.0,101.0,129.0,94.0,103.0,99.0,86.0,108.0,92.0,108.0,157.0,114.0,99.0,92.0,86.0,114.0,108.0,43.0,108.0,101.0,103.0,108.0,92.0,97.0,114.0
17,109.0,103.0,91.0,122.0,110.0,110.0,100.0,110.0,110.0,100.0,87.0,78.0,90.0,109.0,103.0,97.0,103.0,78.0,91.0,90.0,97.0,109.0,91.0,103.0,122.0,103.0,110.0,78.0,103.0,97.0,122.0,91.0
18,132.0,108.0,68.0,42.0,103.0,103.0,94.0,103.0,103.0,94.0,56.0,158.0,97.0,132.0,108.0,92.0,108.0,123.0,68.0,97.0,92.0,132.0,68.0,108.0,77.0,108.0,103.0,158.0,108.0,92.0,42.0,68.0
19,115.0,116.0,85.0,97.0,102.0,102.0,117.0,102.0,102.0,117.0,98.0,103.0,98.0,115.0,116.0,84.0,116.0,98.0,85.0,98.0,84.0,115.0,85.0,116.0,102.0,116.0,102.0,103.0,116.0,84.0,97.0,85.0
20,116.0,150.0,84.0,145.0,84.0,84.0,73.0,84.0,84.0,73.0,138.0,55.0,116.0,116.0,150.0,50.0,150.0,96.0,84.0,116.0,50.0,116.0,84.0,150.0,104.0,150.0,84.0,55.0,150.0,50.0,145.0,84.0
21,142.0,157.0,58.0,99.0,42.0,42.0,73.0,42.0,42.0,73.0,154.0,101.0,158.0,142.0,157.0,43.0,157.0,124.0,58.0,158.0,43.0,142.0,58.0,157.0,76.0,157.0,42.0,101.0,157.0,43.0,99.0,58.0
22,104.0,100.0,96.0,98.0,81.0,81.0,72.0,81.0,81.0,72.0,186.0,102.0,119.0,104.0,100.0,100.0,100.0,97.0,96.0,119.0,100.0,104.0,96.0,100.0,103.0,100.0,81.0,102.0,100.0,100.0,98.0,96.0
23,103.0,85.0,97.0,94.0,39.0,39.0,58.0,39.0,39.0,58.0,117.0,106.0,161.0,103.0,85.0,115.0,85.0,86.0,97.0,161.0,115.0,103.0,97.0,85.0,114.0,85.0,39.0,106.0,85.0,115.0,94.0,97.0
24,13.0,162.0,187.0,68.0,86.0,86.0,22.0,86.0,86.0,22.0,115.0,132.0,114.0,13.0,162.0,38.0,162.0,54.0,187.0,114.0,38.0,13.0,187.0,162.0,146.0,162.0,86.0,132.0,162.0,38.0,68.0,187.0
25,56.0,154.0,144.0,67.0,132.0,132.0,69.0,132.0,132.0,69.0,96.0,133.0,68.0,56.0,154.0,46.0,154.0,111.0,144.0,68.0,46.0,56.0,144.0,154.0,89.0,154.0,132.0,133.0,154.0,46.0,67.0,144.0
26,133.0,155.0,67.0,102.0,86.0,86.0,124.0,86.0,86.0,124.0,62.0,98.0,114.0,133.0,155.0,45.0,155.0,97.0,67.0,114.0,45.0,133.0,67.0,155.0,103.0,155.0,86.0,98.0,155.0,45.0,102.0,67.0
27,85.0,52.0,115.0,101.0,99.0,99.0,69.0,99.0,99.0,69.0,111.0,99.0,101.0,85.0,52.0,148.0,52.0,22.0,115.0,101.0,148.0,85.0,115.0,52.0,178.0,52.0,99.0,99.0,52.0,148.0,101.0,115.0
28,175.0,130.0,25.0,132.0,98.0,98.0,95.0,98.0,98.0,95.0,118.0,68.0,102.0,175.0,130.0,70.0,130.0,44.0,25.0,102.0,70.0,175.0,25.0,130.0,156.0,130.0,98.0,68.0,130.0,70.0,132.0,25.0
29,129.0,41.0,71.0,152.0,121.0,121.0,63.0,121.0,121.0,63.0,39.0,48.0,79.0,129.0,41.0,159.0,41.0,88.0,71.0,79.0,159.0,129.0,71.0,41.0,112.0,41.0,121.0,48.0,41.0,159.0,152.0,71.0
30,44.0,6.0,156.0,145.0,89.0,89.0,93.0,89.0,89.0,93.0,49.0,55.0,111.0,44.0,6.0,194.0,6.0,108.0,156.0,111.0,194.0,44.0,156.0,6.0,92.0,6.0,89.0,55.0,6.0,194.0,145.0,156.0
31,62.0,59.0,138.0,129.0,81.0,81.0,51.0,81.0,81.0,51.0,95.0,71.0,119.0,62.0,59.0,141.0,59.0,106.0,138.0,119.0,141.0,62.0,138.0,59.0,94.0,59.0,81.0,71.0,59.0,141.0,129.0,138.0
32,35.0,84.0,165.0,112.0,76.0,76.0,55.0,76.0,76.0,55.0,60.0,88.0,124.0,35.0,84.0,116.0,84.0,104.0,165.0,124.0,116.0,35.0,165.0,84.0,96.0,84.0,76.0,88.0,84.0,116.0,112.0,165.0
33,40.0,78.0,160.0,102.0,71.0,71.0,121.0,71.0,71.0,121.0,66.0,98.0,129.0,40.0,78.0,122.0,78.0,123.0,160.0,129.0,122.0,40.0,160.0,78.0,77.0,78.0,71.0,98.0,78.0,122.0,102.0,160.0
34,74.0,84.0,126.0,116.0,78.0,78.0,80.0,78.0,78.0,80.0,97.0,84.0,122.0,74.0,84.0,116.0,84.0,141.0,126.0,122.0,116.0,74.0,126.0,84.0,59.0,84.0,78.0,84.0,84.0,116.0,116.0,126.0
35,109.0,53.0,91.0,179.0,29.0,29.0,40.0,29.0,29.0,40.0,45.0,21.0,171.0,109.0,53.0,147.0,53.0,123.0,91.0,171.0,147.0,109.0,91.0,53.0,77.0,53.0,29.0,21.0,53.0,147.0,179.0,91.0
36,87.0,49.0,113.0,169.0,68.0,68.0,25.0,68.0,68.0,25.0,76.0,31.0,132.0,87.0,49.0,151.0,49.0,113.0,113.0,132.0,151.0,87.0,113.0,49.0,87.0,49.0,68.0,31.0,49.0,151.0,169.0,113.0
37,61.0,67.0,139.0,183.0,76.0,76.0,65.0,76.0,76.0,65.0,125.0,17.0,124.0,61.0,67.0,133.0,67.0,74.0,139.0,124.0,133.0,61.0,139.0,67.0,126.0,67.0,76.0,17.0,67.0,133.0,183.0,139.0
38,126.0,141.0,74.0,153.0,79.0,79.0,70.0,79.0,79.0,70.0,107.0,47.0,121.0,126.0,141.0,59.0,141.0,68.0,74.0,121.0,59.0,126.0,74.0,141.0,132.0,141.0,79.0,47.0,141.0,59.0,153.0,74.0
39,121.0,127.0,79.0,137.0,75.0,75.0,64.0,75.0,75.0,64.0,139.0,63.0,125.0,121.0,127.0,73.0,127.0,72.0,79.0,125.0,73.0,121.0,79.0,127.0,128.0,127.0,75.0,63.0,127.0,73.0,137.0,79.0
40,120.0,100.0,80.0,99.0,62.0,62.0,129.0,62.0,62.0,129.0,69.0,101.0,138.0,120.0,100.0,100.0,100.0,75.0,80.0,138.0,100.0,120.0,80.0,100.0,125.0,100.0,62.0,101.0,100.0,100.0,99.0,80.0
41,134.0,120.0,66.0,82.0,81.0,81.0,131.0,81.0,81.0,131.0,64.0,118.0,119.0,134.0,120.0,80.0,120.0,71.0,66.0,119.0,80.0,134.0,66.0,120.0,129.0,120.0,81.0,118.0,120.0,80.0,82.0,66.0
42,107.0,142.0,93.0,112.0,104.0,104.0,146.0,104.0,104.0,146.0,72.0,88.0,96.0,107.0,142.0,58.0,142.0,60.0,93.0,96.0,58.0,107.0,93.0,142.0,140.0,142.0,104.0,88.0,142.0,58.0,112.0,93.0
43,135.0,115.0,65.0,100.0,59.0,59.0,125.0,59.0,59.0,125.0,64.0,100.0,141.0,135.0,115.0,85.0,115.0,72.0,65.0,141.0,85.0,135.0,65.0,115.0,128.0,115.0,59.0,100.0,115.0,85.0,100.0,65.0
44,151.0,50.0,49.0,83.0,106.0,106.0,117.0,106.0,106.0,117.0,63.0,117.0,94.0,151.0,50.0,150.0,50.0,107.0,49.0,94.0,150.0,151.0,49.0,50.0,93.0,50.0,106.0,117.0,50.0,150.0,83.0,49.0
45,113.0,75.0,87.0,117.0,84.0,84.0,144.0,84.0,84.0,144.0,88.0,83.0,116.0,113.0,75.0,125.0,75.0,81.0,87.0,116.0,125.0,113.0,87.0,75.0,119.0,75.0,84.0,83.0,75.0,125.0,117.0,87.0
46,92.0,109.0,108.0,195.0,78.0,78.0,75.0,78.0,78.0,75.0,67.0,5.0,122.0,92.0,109.0,91.0,109.0,150.0,108.0,122.0,91.0,92.0,108.0,109.0,50.0,109.0,78.0,5.0,109.0,91.0,195.0,108.0
47,125.0,94.0,75.0,168.0,96.0,96.0,64.0,96.0,96.0,64.0,100.0,32.0,104.0,125.0,94.0,106.0,94.0,161.0,75.0,104.0,106.0,125.0,75.0,94.0,39.0,94.0,96.0,32.0,94.0,106.0,168.0,75.0
48,57.0,95.0,143.0,188.0,92.0,92.0,72.0,92.0,92.0,72.0,74.0,12.0,108.0,57.0,95.0,105.0,95.0,74.0,143.0,108.0,105.0,57.0,143.0,95.0,126.0,95.0,92.0,12.0,95.0,105.0,188.0,143.0
49,122.0,45.0,78.0,148.0,114.0,114.0,151.0,114.0,114.0,151.0,95.0,52.0,86.0,122.0,45.0,155.0,45.0,95.0,78.0,86.0,155.0,122.0,78.0,45.0,105.0,45.0,114.0,52.0,45.0,155.0,148.0,78.0
50,84.0,104.0,116.0,161.0,78.0,78.0,156.0,78.0,78.0,156.0,90.0,39.0,122.0,84.0,104.0,96.0,104.0,124.0,116.0,122.0,96.0,84.0,116.0,104.0,76.0,104.0,78.0,39.0,104.0,96.0,161.0,116.0
