"","mean","se_mean","sd","X50.","group"
"lambdaSubj.1.",0.550490687173033,0.000798731564955055,0.0482815051335,0.536287386584014,"H"
"lambdaSubj.2.",0.554549841667577,0.00090001357459244,0.0530127516107595,0.53893478763711,"H"
"lambdaSubj.3.",0.549304785677727,0.000725656924228756,0.0454331194731327,0.536781376313991,"H"
"lambdaSubj.4.",0.552203397838318,0.000853923507215394,0.0502269607593513,0.537093659430907,"H"
"lambdaSubj.5.",0.551789733416788,0.000836186321079445,0.049482591930319,0.536796086258549,"H"
"lambdaSubj.6.",0.551474280926205,0.000776310533026487,0.0494301921128708,0.536849074092757,"H"
"lambdaSubj.7.",0.553356302677623,0.000864236689960006,0.0513683853802645,0.538769320273457,"H"
"lambdaSubj.8.",0.55262955490466,0.000828229251329214,0.0495231024994826,0.538671943596774,"H"
"lambdaSubj.9.",0.552965876242793,0.000835811214202931,0.0521788253241002,0.538407087853558,"H"
"lambdaSubj.10.",0.549231051416432,0.000682971113151001,0.0447545791211508,0.537362001931532,"H"
"lambdaSubj.11.",0.551131077464713,0.000783687293962293,0.0500233828063041,0.536968333569382,"H"
"lambdaSubj.12.",0.550243960445702,0.00076853715837778,0.0479737311170721,0.536631975713223,"H"
"lambdaSubj.13.",0.553813134755506,0.000934477701511478,0.0550782026697247,0.53748180939978,"H"
"lambdaSubj.14.",0.551753248101303,0.000862548405624113,0.0497226171124756,0.537127074299788,"H"
"lambdaSubj.15.",0.55179483377959,0.000864308447533274,0.0495263023813703,0.537752163772902,"H"
"lambdaSubj.16.",0.549262355392028,0.000750417646955952,0.0454174090437984,0.536698658331579,"H"
"lambdaSubj.17.",0.54966205933358,0.000725242138154494,0.0461441863503557,0.536540577443881,"H"
"lambdaSubj.18.",0.547569646847856,0.000768490756990001,0.0476300871202759,0.534541822292626,"H"
"lambdaSubj.19.",0.551913014718706,0.000810003835968481,0.0500550750187725,0.538400562079393,"H"
"lambdaSubj.20.",0.546817410321898,0.000667898432094226,0.0417914940538184,0.535066523638549,"H"
"lambdaSubj.21.",0.552488662184865,0.000812041379239834,0.050006889387106,0.538149370755867,"H"
"lambdaSubj.22.",0.552508077206857,0.000779954558670525,0.0499327596545453,0.538608845006672,"H"
"lambdaSubj.23.",0.548931653435325,0.000731878521810959,0.045407327524308,0.537035519421913,"H"
"lambdaSubj.24.",0.551057488836138,0.000778931099592617,0.0493563997149115,0.536726174285291,"H"
"lambdaSubj.25.",0.548974880584997,0.000725065309192959,0.0444025751535868,0.535659516705582,"H"
