"","mean","se_mean","sd","X50.","group"
"noiseSubj.1.",0.185918497223074,0.00154643334555743,0.154215597701066,0.146528253836863,"H"
"noiseSubj.2.",0.396447575371172,0.00296923552639164,0.29076797593525,0.320155743513224,"H"
"noiseSubj.3.",0.173981045755686,0.00157150213237733,0.146850987083499,0.134822035216561,"H"
"noiseSubj.4.",0.232175106641795,0.00164154244592883,0.183941739864385,0.186946912998513,"H"
"noiseSubj.5.",0.108537109941532,0.00153926963924746,0.102169593818969,0.0776151046049393,"H"
"noiseSubj.6.",0.120717623600326,0.00144575619203058,0.10505091601544,0.0901917532869438,"H"
"noiseSubj.7.",0.209227628256393,0.00154329824462416,0.163306231463813,0.169864237857244,"H"
"noiseSubj.8.",0.346707450245704,0.00239505227189954,0.263263620737176,0.276513081119334,"H"
"noiseSubj.9.",0.297861771079038,0.0020447579711102,0.223658042669176,0.241065999260601,"H"
"noiseSubj.10.",0.27032373680026,0.00184978876754189,0.208000895586471,0.217107788328015,"H"
"noiseSubj.11.",0.350683066845505,0.00262238061092362,0.260791772386206,0.28296862249824,"H"
"noiseSubj.12.",0.412747317629103,0.00294054863522372,0.303320564521328,0.333825884274171,"H"
"noiseSubj.13.",0.43630002386692,0.00318068273461713,0.318695640637461,0.356078328693702,"H"
"noiseSubj.14.",0.278982666519081,0.00191493584591182,0.209119124924808,0.226856269126884,"H"
"noiseSubj.15.",0.16328813060752,0.00150802076407947,0.134788756626914,0.128394973924021,"H"
"noiseSubj.16.",0.234059435344956,0.00146905934868891,0.16229540695473,0.197179987995953,"H"
"noiseSubj.17.",0.361184921540847,0.00254119338578882,0.272460038317036,0.290109458380122,"H"
"noiseSubj.18.",0.209922130488981,0.00103398687125961,0.119961286216808,0.189135020945668,"H"
"noiseSubj.19.",0.415611483232258,0.00300670731238223,0.307745629149237,0.333405765971,"H"
"noiseSubj.20.",0.34738593489073,0.00237337763060178,0.261039111610481,0.282408706128275,"H"
"noiseSubj.21.",0.304771165284553,0.00212217901748697,0.224870010139111,0.24801918264101,"H"
"noiseSubj.22.",0.265845911945893,0.00194765394070025,0.204307704889723,0.216279334317111,"H"
"noiseSubj.23.",0.16571292513395,0.00158494470736995,0.143846322543525,0.126988837961174,"H"
"noiseSubj.24.",0.20391138821678,0.00153898146428558,0.16063759589437,0.163785654146896,"H"
"noiseSubj.25.",0.287914923406577,0.00190070358103146,0.20734964897018,0.23832626082951,"H"
"noiseSubj.26.",0.381704326873236,0.00228014874693954,0.226341090795617,0.334872776458395,"H"
"noiseSubj.27.",0.351280036596151,0.00244214166180059,0.261373223459572,0.284503800312735,"H"
"noiseSubj.28.",0.217303268160408,0.00169918444710499,0.177944492519286,0.17142030267325,"H"
"noiseSubj.29.",0.329101523547112,0.00224947130951634,0.236913710175515,0.271914180056473,"H"
"noiseSubj.30.",0.418092737774245,0.00295244288030729,0.30870198271639,0.335140166378887,"H"
"noiseSubj.31.",0.464286330402804,0.00363316742086575,0.331459249839594,0.379853590712443,"H"
"noiseSubj.32.",0.217627203273185,0.00169408411482404,0.183859557159229,0.171712636101668,"H"
"noiseSubj.1..1",0.00943051482585821,0.000117979398727822,0.0114174971437584,0.00586274826167277,"P"
"noiseSubj.2..1",0.53858289495055,0.00382302198901049,0.399551851242383,0.441033419013531,"P"
"noiseSubj.3..1",0.431551401544079,0.00288603809003343,0.307949809537824,0.35914784497944,"P"
"noiseSubj.4..1",0.28459216870029,0.00315069859323371,0.271796723582386,0.203220332080796,"P"
"noiseSubj.5..1",0.061774435189067,0.000758569974746287,0.0815695991450014,0.0340099300031324,"P"
"noiseSubj.6..1",0.453304330725326,0.00339733842533602,0.3541771874909,0.361534240403624,"P"
"noiseSubj.7..1",0.165404822530017,0.00151094587364805,0.15150167619848,0.123427271244769,"P"
"noiseSubj.8..1",0.368671575995031,0.00243156340107551,0.266065852004029,0.307622321254757,"P"
"noiseSubj.9..1",0.012393566384579,0.000157729438326113,0.0145548397858304,0.00779677348633364,"P"
"noiseSubj.10..1",0.0173945577410863,0.000232589151544289,0.0234989731980303,0.0100133273002286,"P"
"noiseSubj.11..1",0.530945847073861,0.00374414788056584,0.406008883346798,0.42720733979234,"P"
"noiseSubj.12..1",0.407800611665164,0.00313205425752384,0.327572210453295,0.321326628202268,"P"
"noiseSubj.13..1",0.558703997008823,0.00393960188954006,0.419895428994428,0.453820192867064,"P"
"noiseSubj.14..1",0.574893092893511,0.00412150579785276,0.433317424975976,0.465687556774398,"P"
"noiseSubj.15..1",0.416893426224687,0.0025835448847387,0.285000147865988,0.3533451542398,"P"
"noiseSubj.16..1",0.41010056034478,0.00317287764799514,0.326541063174129,0.326916492687906,"P"
"noiseSubj.17..1",0.0637786854492498,0.000754791141388096,0.0750337541963004,0.0393146140816129,"P"
"noiseSubj.18..1",0.389489353515237,0.00295588723719332,0.314465901770494,0.308032833505031,"P"
