,61312359198de5c453d3cfb9,6167e5b21fe4bb7b2579fa56,5ffca360e5368712c0d99025,6125f41a09b22ab57f141fc4,60fa1f2cf2278d3aa499500d,5e5701332445b00c809f4f5a,60fbd6e536d60cbad293b196,6174329f7090eebf66aac13e,6152cf90dee0704b0bf2993a,5f5e4841a15e3f6c48945fb9,61112143019643656743213c,5daae19f8a06b60016d1bc32,60d747e9498dbc9de1f481f8,615c45c1bdf768482da9ae9f,5f7d002d141e4e1c0e84e98e,611df8db8ecf47bb14385383,59b53c08834a170001d609d0,5db4cc7d991a36000f60c12f,60c3296117492c303de38975,6159e587cc01e08668d4d7bd,615c7b5b6c6f51e68938c2aa,611fda564c6fa3a229aedd37,5f3976475344654ec13820aa,615078887e990118be6d3c25,6134a29257aec791154425ae,5f966b181caf595331d1685e,5a64a97663394a0001556331,60e9c7d6324bb82ccb1357e4,5f009c12dac7c81b0e9c0d06,60fda80455b1001936d34ce8,6152e5bee196dfaf35c84747
0,108.0,82.0,82.0,92.0,87.0,83.0,113.0,69.0,69.0,118.0,82.0,90.0,92.0,118.0,117.0,110.0,76.0,108.0,124.0,76.0,113.0,83.0,124.0,76.0,124.0,82.0,76.0,113.0,113.0,118.0,118.0
1,84.0,74.0,74.0,116.0,93.0,133.0,107.0,88.0,88.0,126.0,74.0,107.0,116.0,126.0,67.0,93.0,91.0,84.0,109.0,91.0,107.0,133.0,109.0,91.0,109.0,74.0,91.0,107.0,107.0,126.0,126.0
2,88.0,130.0,130.0,112.0,89.0,125.0,111.0,109.0,109.0,70.0,130.0,143.0,112.0,70.0,75.0,57.0,124.0,88.0,76.0,124.0,111.0,125.0,76.0,124.0,76.0,130.0,124.0,111.0,111.0,70.0,70.0
3,83.0,85.0,85.0,117.0,67.0,121.0,133.0,102.0,102.0,115.0,85.0,109.0,117.0,115.0,79.0,91.0,162.0,83.0,38.0,162.0,133.0,121.0,38.0,162.0,38.0,85.0,162.0,133.0,133.0,115.0,115.0
4,136.0,92.0,92.0,64.0,113.0,100.0,87.0,97.0,97.0,108.0,92.0,114.0,64.0,108.0,100.0,86.0,118.0,136.0,82.0,118.0,87.0,100.0,82.0,118.0,82.0,92.0,118.0,87.0,87.0,108.0,108.0
5,69.0,64.0,64.0,131.0,125.0,122.0,75.0,76.0,76.0,136.0,64.0,113.0,131.0,136.0,78.0,87.0,156.0,69.0,44.0,156.0,75.0,122.0,44.0,156.0,44.0,64.0,156.0,75.0,75.0,136.0,136.0
6,76.0,108.0,108.0,124.0,119.0,100.0,81.0,102.0,102.0,92.0,108.0,167.0,124.0,92.0,100.0,33.0,147.0,76.0,53.0,147.0,81.0,100.0,53.0,147.0,53.0,108.0,147.0,81.0,81.0,92.0,92.0
7,100.0,125.0,125.0,100.0,110.0,101.0,90.0,105.0,105.0,75.0,125.0,158.0,100.0,75.0,99.0,42.0,167.0,100.0,33.0,167.0,90.0,101.0,33.0,167.0,33.0,125.0,167.0,90.0,90.0,75.0,75.0
8,24.0,86.0,86.0,176.0,144.0,159.0,56.0,114.0,114.0,114.0,86.0,109.0,176.0,114.0,41.0,91.0,118.0,24.0,82.0,118.0,56.0,159.0,82.0,118.0,82.0,86.0,118.0,56.0,56.0,114.0,114.0
9,74.0,137.0,137.0,126.0,139.0,95.0,61.0,115.0,115.0,63.0,137.0,54.0,126.0,63.0,105.0,146.0,88.0,74.0,112.0,88.0,61.0,95.0,112.0,88.0,112.0,137.0,88.0,61.0,61.0,63.0,63.0
10,75.0,138.0,138.0,125.0,111.0,100.0,89.0,118.0,118.0,62.0,138.0,111.0,125.0,62.0,100.0,89.0,108.0,75.0,92.0,108.0,89.0,100.0,92.0,108.0,92.0,138.0,108.0,89.0,89.0,62.0,62.0
11,114.0,145.0,145.0,86.0,105.0,137.0,95.0,103.0,103.0,55.0,145.0,67.0,86.0,55.0,63.0,133.0,106.0,114.0,94.0,106.0,95.0,137.0,94.0,106.0,94.0,145.0,106.0,95.0,95.0,55.0,55.0
12,131.0,111.0,111.0,69.0,74.0,84.0,126.0,126.0,126.0,89.0,111.0,49.0,69.0,89.0,116.0,151.0,88.0,131.0,112.0,88.0,126.0,84.0,112.0,88.0,112.0,111.0,88.0,126.0,126.0,89.0,89.0
13,109.0,109.0,109.0,91.0,72.0,98.0,128.0,106.0,106.0,91.0,109.0,60.0,91.0,91.0,102.0,140.0,52.0,109.0,148.0,52.0,128.0,98.0,148.0,52.0,148.0,109.0,52.0,128.0,128.0,91.0,91.0
14,54.0,94.0,94.0,146.0,146.0,93.0,54.0,184.0,184.0,106.0,94.0,106.0,146.0,106.0,107.0,94.0,91.0,54.0,109.0,91.0,54.0,93.0,109.0,91.0,109.0,94.0,91.0,54.0,54.0,106.0,106.0
15,100.0,110.0,110.0,100.0,124.0,51.0,76.0,58.0,58.0,90.0,110.0,95.0,100.0,90.0,149.0,105.0,112.0,100.0,88.0,112.0,76.0,51.0,88.0,112.0,88.0,110.0,112.0,76.0,76.0,90.0,90.0
16,71.0,86.0,86.0,129.0,94.0,101.0,106.0,43.0,43.0,114.0,86.0,103.0,129.0,114.0,99.0,97.0,92.0,71.0,108.0,92.0,106.0,101.0,108.0,92.0,108.0,86.0,92.0,106.0,106.0,114.0,114.0
17,100.0,109.0,109.0,100.0,87.0,110.0,113.0,122.0,122.0,91.0,109.0,78.0,100.0,91.0,90.0,122.0,97.0,100.0,103.0,97.0,113.0,110.0,103.0,97.0,103.0,109.0,97.0,113.0,113.0,91.0,91.0
18,106.0,132.0,132.0,94.0,56.0,103.0,144.0,77.0,77.0,68.0,132.0,158.0,94.0,68.0,97.0,42.0,92.0,106.0,108.0,92.0,144.0,103.0,108.0,92.0,108.0,132.0,92.0,144.0,144.0,68.0,68.0
19,83.0,115.0,115.0,117.0,98.0,102.0,102.0,102.0,102.0,85.0,115.0,103.0,117.0,85.0,98.0,97.0,84.0,83.0,116.0,84.0,102.0,102.0,116.0,84.0,116.0,115.0,84.0,102.0,102.0,85.0,85.0
20,127.0,116.0,116.0,73.0,138.0,84.0,62.0,104.0,104.0,84.0,116.0,55.0,73.0,84.0,116.0,145.0,50.0,127.0,150.0,50.0,62.0,84.0,150.0,50.0,150.0,116.0,50.0,62.0,62.0,84.0,84.0
21,127.0,142.0,142.0,73.0,154.0,42.0,46.0,76.0,76.0,58.0,142.0,101.0,73.0,58.0,158.0,99.0,43.0,127.0,157.0,43.0,46.0,42.0,157.0,43.0,157.0,142.0,43.0,46.0,46.0,58.0,58.0
22,128.0,104.0,104.0,72.0,186.0,81.0,14.0,103.0,103.0,96.0,104.0,102.0,72.0,96.0,119.0,98.0,100.0,128.0,100.0,100.0,14.0,81.0,100.0,100.0,100.0,104.0,100.0,14.0,14.0,96.0,96.0
23,142.0,103.0,103.0,58.0,117.0,39.0,83.0,114.0,114.0,97.0,103.0,106.0,58.0,97.0,161.0,94.0,115.0,142.0,85.0,115.0,83.0,39.0,85.0,115.0,85.0,103.0,115.0,83.0,83.0,97.0,97.0
24,178.0,13.0,13.0,22.0,115.0,86.0,85.0,146.0,146.0,187.0,13.0,132.0,22.0,187.0,114.0,68.0,38.0,178.0,162.0,38.0,85.0,86.0,162.0,38.0,162.0,13.0,38.0,85.0,85.0,187.0,187.0
25,131.0,56.0,56.0,69.0,96.0,132.0,104.0,89.0,89.0,144.0,56.0,133.0,69.0,144.0,68.0,67.0,46.0,131.0,154.0,46.0,104.0,132.0,154.0,46.0,154.0,56.0,46.0,104.0,104.0,144.0,144.0
26,76.0,133.0,133.0,124.0,62.0,86.0,138.0,103.0,103.0,67.0,133.0,98.0,124.0,67.0,114.0,102.0,45.0,76.0,155.0,45.0,138.0,86.0,155.0,45.0,155.0,133.0,45.0,138.0,138.0,67.0,67.0
27,131.0,85.0,85.0,69.0,111.0,99.0,89.0,178.0,178.0,115.0,85.0,99.0,69.0,115.0,101.0,101.0,148.0,131.0,52.0,148.0,89.0,99.0,52.0,148.0,52.0,85.0,148.0,89.0,89.0,115.0,115.0
28,105.0,175.0,175.0,95.0,118.0,98.0,82.0,156.0,156.0,25.0,175.0,68.0,95.0,25.0,102.0,132.0,70.0,105.0,130.0,70.0,82.0,98.0,130.0,70.0,130.0,175.0,70.0,82.0,82.0,25.0,25.0
29,137.0,129.0,129.0,63.0,39.0,121.0,161.0,112.0,112.0,71.0,129.0,48.0,63.0,71.0,79.0,152.0,159.0,137.0,41.0,159.0,161.0,121.0,41.0,159.0,41.0,129.0,159.0,161.0,161.0,71.0,71.0
30,107.0,44.0,44.0,93.0,49.0,89.0,151.0,92.0,92.0,156.0,44.0,55.0,93.0,156.0,111.0,145.0,194.0,107.0,6.0,194.0,151.0,89.0,6.0,194.0,6.0,44.0,194.0,151.0,151.0,156.0,156.0
31,149.0,62.0,62.0,51.0,95.0,81.0,105.0,94.0,94.0,138.0,62.0,71.0,51.0,138.0,119.0,129.0,141.0,149.0,59.0,141.0,105.0,81.0,59.0,141.0,59.0,62.0,141.0,105.0,105.0,138.0,138.0
32,145.0,35.0,35.0,55.0,60.0,76.0,140.0,96.0,96.0,165.0,35.0,88.0,55.0,165.0,124.0,112.0,116.0,145.0,84.0,116.0,140.0,76.0,84.0,116.0,84.0,35.0,116.0,140.0,140.0,165.0,165.0
33,79.0,40.0,40.0,121.0,66.0,71.0,134.0,77.0,77.0,160.0,40.0,98.0,121.0,160.0,129.0,102.0,122.0,79.0,78.0,122.0,134.0,71.0,78.0,122.0,78.0,40.0,122.0,134.0,134.0,160.0,160.0
34,120.0,74.0,74.0,80.0,97.0,78.0,103.0,59.0,59.0,126.0,74.0,84.0,80.0,126.0,122.0,116.0,116.0,120.0,84.0,116.0,103.0,78.0,84.0,116.0,84.0,74.0,116.0,103.0,103.0,126.0,126.0
35,160.0,109.0,109.0,40.0,45.0,29.0,155.0,77.0,77.0,91.0,109.0,21.0,40.0,91.0,171.0,179.0,147.0,160.0,53.0,147.0,155.0,29.0,53.0,147.0,53.0,109.0,147.0,155.0,155.0,91.0,91.0
36,175.0,87.0,87.0,25.0,76.0,68.0,124.0,87.0,87.0,113.0,87.0,31.0,25.0,113.0,132.0,169.0,151.0,175.0,49.0,151.0,124.0,68.0,49.0,151.0,49.0,87.0,151.0,124.0,124.0,113.0,113.0
37,135.0,61.0,61.0,65.0,125.0,76.0,75.0,126.0,126.0,139.0,61.0,17.0,65.0,139.0,124.0,183.0,133.0,135.0,67.0,133.0,75.0,76.0,67.0,133.0,67.0,61.0,133.0,75.0,75.0,139.0,139.0
38,130.0,126.0,126.0,70.0,107.0,79.0,93.0,132.0,132.0,74.0,126.0,47.0,70.0,74.0,121.0,153.0,59.0,130.0,141.0,59.0,93.0,79.0,141.0,59.0,141.0,126.0,59.0,93.0,93.0,74.0,74.0
39,136.0,121.0,121.0,64.0,139.0,75.0,61.0,128.0,128.0,79.0,121.0,63.0,64.0,79.0,125.0,137.0,73.0,136.0,127.0,73.0,61.0,75.0,127.0,73.0,127.0,121.0,73.0,61.0,61.0,79.0,79.0
40,71.0,120.0,120.0,129.0,69.0,62.0,131.0,125.0,125.0,80.0,120.0,101.0,129.0,80.0,138.0,99.0,100.0,71.0,100.0,100.0,131.0,62.0,100.0,100.0,100.0,120.0,100.0,131.0,131.0,80.0,80.0
41,69.0,134.0,134.0,131.0,64.0,81.0,136.0,129.0,129.0,66.0,134.0,118.0,131.0,66.0,119.0,82.0,80.0,69.0,120.0,80.0,136.0,81.0,120.0,80.0,120.0,134.0,80.0,136.0,136.0,66.0,66.0
42,54.0,107.0,107.0,146.0,72.0,104.0,128.0,140.0,140.0,93.0,107.0,88.0,146.0,93.0,96.0,112.0,58.0,54.0,142.0,58.0,128.0,104.0,142.0,58.0,142.0,107.0,58.0,128.0,128.0,93.0,93.0
43,75.0,135.0,135.0,125.0,64.0,59.0,136.0,128.0,128.0,65.0,135.0,100.0,125.0,65.0,141.0,100.0,85.0,75.0,115.0,85.0,136.0,59.0,115.0,85.0,115.0,135.0,85.0,136.0,136.0,65.0,65.0
44,83.0,151.0,151.0,117.0,63.0,106.0,137.0,93.0,93.0,49.0,151.0,117.0,117.0,49.0,94.0,83.0,150.0,83.0,50.0,150.0,137.0,106.0,50.0,150.0,50.0,151.0,150.0,137.0,137.0,49.0,49.0
45,56.0,113.0,113.0,144.0,88.0,84.0,112.0,119.0,119.0,87.0,113.0,83.0,144.0,87.0,116.0,117.0,125.0,56.0,75.0,125.0,112.0,84.0,75.0,125.0,75.0,113.0,125.0,112.0,112.0,87.0,87.0
46,125.0,92.0,92.0,75.0,67.0,78.0,133.0,50.0,50.0,108.0,92.0,5.0,75.0,108.0,122.0,195.0,91.0,125.0,109.0,91.0,133.0,78.0,109.0,91.0,109.0,92.0,91.0,133.0,133.0,108.0,108.0
47,136.0,125.0,125.0,64.0,100.0,96.0,100.0,39.0,39.0,75.0,125.0,32.0,64.0,75.0,104.0,168.0,106.0,136.0,94.0,106.0,100.0,96.0,94.0,106.0,94.0,125.0,106.0,100.0,100.0,75.0,75.0
48,128.0,57.0,57.0,72.0,74.0,92.0,126.0,126.0,126.0,143.0,57.0,12.0,72.0,143.0,108.0,188.0,105.0,128.0,95.0,105.0,126.0,92.0,95.0,105.0,95.0,57.0,105.0,126.0,126.0,143.0,143.0
49,49.0,122.0,122.0,151.0,95.0,114.0,105.0,105.0,105.0,78.0,122.0,52.0,151.0,78.0,86.0,148.0,155.0,49.0,45.0,155.0,105.0,114.0,45.0,155.0,45.0,122.0,155.0,105.0,105.0,78.0,78.0
50,44.0,84.0,84.0,156.0,90.0,78.0,110.0,76.0,76.0,116.0,84.0,39.0,156.0,116.0,122.0,161.0,96.0,44.0,104.0,96.0,110.0,78.0,104.0,96.0,104.0,84.0,96.0,110.0,110.0,116.0,116.0
51,27.0,150.0,150.0,173.0,93.0,84.0,107.0,128.0,128.0,50.0,150.0,130.0,173.0,50.0,116.0,70.0,68.0,27.0,132.0,68.0,107.0,84.0,132.0,68.0,132.0,150.0,68.0,107.0,107.0,50.0,50.0
52,35.0,187.0,187.0,165.0,137.0,61.0,63.0,47.0,47.0,13.0,187.0,65.0,165.0,13.0,139.0,135.0,97.0,35.0,103.0,97.0,63.0,61.0,103.0,97.0,103.0,187.0,97.0,63.0,63.0,13.0,13.0
53,75.0,125.0,125.0,125.0,122.0,62.0,78.0,107.0,107.0,75.0,125.0,94.0,125.0,75.0,138.0,106.0,64.0,75.0,136.0,64.0,78.0,62.0,136.0,64.0,136.0,125.0,64.0,78.0,78.0,75.0,75.0
54,136.0,165.0,165.0,64.0,104.0,211.0,96.0,106.0,106.0,35.0,165.0,157.0,64.0,35.0,-11.0,43.0,132.0,136.0,68.0,132.0,96.0,211.0,68.0,132.0,68.0,165.0,132.0,96.0,96.0,35.0,35.0
55,86.0,123.0,123.0,114.0,91.0,130.0,109.0,153.0,153.0,77.0,123.0,134.0,114.0,77.0,70.0,66.0,88.0,86.0,112.0,88.0,109.0,130.0,112.0,88.0,112.0,123.0,88.0,109.0,109.0,77.0,77.0
56,94.0,61.0,61.0,106.0,102.0,127.0,98.0,97.0,97.0,139.0,61.0,71.0,106.0,139.0,73.0,129.0,92.0,94.0,108.0,92.0,98.0,127.0,108.0,92.0,108.0,61.0,92.0,98.0,98.0,139.0,139.0
57,73.0,84.0,84.0,127.0,127.0,154.0,73.0,121.0,121.0,116.0,84.0,91.0,127.0,116.0,46.0,109.0,57.0,73.0,143.0,57.0,73.0,154.0,143.0,57.0,143.0,84.0,57.0,73.0,73.0,116.0,116.0
58,95.0,94.0,94.0,105.0,156.0,87.0,44.0,73.0,73.0,106.0,94.0,115.0,105.0,106.0,113.0,85.0,103.0,95.0,97.0,103.0,44.0,87.0,97.0,103.0,97.0,94.0,103.0,44.0,44.0,106.0,106.0
59,121.0,136.0,136.0,79.0,106.0,105.0,94.0,111.0,111.0,64.0,136.0,130.0,79.0,64.0,95.0,70.0,48.0,121.0,152.0,48.0,94.0,105.0,152.0,48.0,152.0,136.0,48.0,94.0,94.0,64.0,64.0
60,172.0,118.0,118.0,28.0,154.0,110.0,46.0,180.0,180.0,82.0,118.0,111.0,28.0,82.0,90.0,89.0,93.0,172.0,107.0,93.0,46.0,110.0,107.0,93.0,107.0,118.0,93.0,46.0,46.0,82.0,82.0
61,90.0,118.0,118.0,110.0,104.0,61.0,96.0,76.0,76.0,82.0,118.0,118.0,110.0,82.0,139.0,82.0,112.0,90.0,88.0,112.0,96.0,61.0,88.0,112.0,88.0,118.0,112.0,96.0,96.0,82.0,82.0
